Hired in Q1 2023?,Company Name,Location City,Location State,Description,Website,Industry,Company Size
Yes,Allbridge,Raleigh,North Carolina,"Allbridge is the trusted partner to design, build and support unified property technology solutions. Currently servicing over 7,000 commercial properties, we enable integrated hospitality, mixed-use, multifamily and senior living buildings to deliver superior end-user experiences across a property.

Our expert engineers and project management professionals partner with your team every step of the way from inception through completion and beyond to facilitate an economical and efficient design, reduce costs, optimize system performance and meet project timelines.",http://www.allbridge.com,Consultancy,100-500
Yes,AMPAworks,West Hollywood,California,"We build technology leveraging AI algorithms to help hospitals reduce costs and drive efficiency.

",http://www.ampaworks.com,Internet,1-100
Yes,Bandwidth,Raleigh,North Carolina,Bandwidth is the universal communications platform that simplifies how businesses deliver integrated global experiences. It's flexible and ready to integrate with your entire communications stack. It's built on our own global network for unmatched reliability. And it's grounded in both telecom and real-world software expertise. So you can create exceptional experiences for customers—anywhere in the world.,http://www.bandwidth.com,Computer Software,500-2000
Yes,Bluehouse Group,Burlington,Vermont,"Bluehouse Group is a full service digital agency in Burlington, Vermont offering more than websites; we serve as a strategic business partner with the goal of helping you grow your business. For nearly 20 years, we've been offering website design and development, custom web applications, content management systems (CMS), inbound/content marketing, website hosting and the hands-on responsive support that keeps our clients with us for years. User experience design is our secret sauce, and we’re good at it.",https://bluehouse.group,Marketing/Advertising,1-100
Yes,Booz Allen Hamilton,McLean,Virginia,"For more than 100 years, military, government, and business leaders have turned to Booz Allen Hamilton to solve their most complex problems. As a consulting firm with experts in analytics, digital, engineering, and cyber, we help organizations transform. We are a key partner on some of the most innovative programs for governments worldwide and trusted by their most sensitive agencies. We work shoulder to shoulder with clients, using a mission-first approach to choose the right strategy and technology to help them realize their vision. 
",http://www.boozallen.com,Information Technology,2000+
Yes,Boulder Real Time Technologies Inc.,Boulder,Colorado,"Boulder Real Time Technologies (BRTT) provides software tools and infrastructure for real-time streaming data processing, with emphasis on earth-monitoring applications. BRTT produces the Antelope Environmental Monitoring System, which is used on all seven continents for near-real-time earthquake monitoring.",https://brtt.com,Computer Software,1-100
Yes,Building the Elite,Remote,Remote,"LEARN HOW TO BECOME MORE CAPABLE & RESILIENT
At BTE, we educate and coach all facets of human performance - from physical training to the mental and emotional factors of resilience",https://www.buildingtheelite.com/,Fitness,1-100
Yes,DISH Network,Englewood,Colorado,Dish Network Corporation is a U.S. television provider.,https://www.dish.com/,Telecommunications,2000+
Yes,Dose Health,New Brighton,Minnesota,"We want to improve health, well-being, and independence for everyone. This starts by working closely with both individuals and their care teams to understand each person's needs. We always work to improve our services so they are accessible to all. That's why everything we build is based on feedback from the community.  Because every dose matters.",https://www.dosehealth.com,Medtech/Healthcare,1-100
Yes,Engage Mobilize Inc.,Denver,Colorado,"ENGAGE is a digital field management platform that is revolutionizing the way oil and gas companies interact with service providers. The platform interfaces with both operators and vendors, allowing complete transparency for all sides.

Integrating with other software, ENGAGE preloads pertinent information, predicatively schedules repeatable services and streamlines ticket information into accounting systems and its proprietary dispatch platforms.",https://engagemobilize.com/,FinTech/Finance,1-100
Yes,FedEx,Memphis,Tennessee,FedEx Corporation is an American multinational courier delivery services company.,https://www.fedex.com/en-us/home.html,Package/Freight Delivery,2000+
Yes,Gambyt,Ann Arbor,Michigan,"Gambyt (formally Interaction Gaming) develops digital solutions for the lottery industry and aspires to enter the casino and sportsbooks markets in the future.  Our expertise includes responsive websites, native mobile apps, games of chance, player loyalty programs, and digital promotions.",https://www.gambyt.com,Gaming,1-100
Yes,iA,Indianapolis,Indiana,"iA is the pharmacy fulfillment solution for retail, government, and health systems.

Powered by NEXiA software, with over 25-plus years of experience in pharmacy innovation and leadership, iA’s pharmacy fulfillment solutions are focused on pharmacist-patient relationships, partnering with pharmacies to innovate their business models so pharmacies can profitably focus on patient care to meet and exceed market demands.",http://iarx.com/,Medtech/Healthcare,500-2000
Yes,Ibotta,Denver,Colorado,Mobile technology company that enables users with its smartphone app to earn cash back on in-store and mobile purchases with receipt and/or purchase verification.,https://ibotta.com/,Internet,500-2000
Yes,ICR Inc.,Aurora,Colorado,"We will be the first to identify and solve the Intelligence and Defense Communities’ toughest engineering and operational problems by establishing a true partnership with our Customers. Despite our advanced degrees and heavy R&D focus, it is our hands-on experience and scars from the field that will enable us to create very practical and reliable solutions.

Our purpose at ICR is to establish a company where the best minds in their career field want to work. Our Customer’s problems will become our own and our employees will wake up each day wanting to solve them. Through a culture of stewardship and calculated risk-taking, we hope to mentor, develop and ultimately transition ICR’s ownership and leadership from our earliest employees to our future generation of employees.",http://www.icr-team.com,Aviation/Aerospace,100-500
Yes,InvestNext,Detroit,Michigan,"At InvestNext, we set out on a mission to transform the way investment firms raise and manage capital. The company is based in Detroit, Michigan, and was founded in 2016. At the time, we realized the industry as a whole operates within a black box, with countless hours spent on activities that made fundraising, investment management, and investor relations tedious and inefficient.

Since day one, we’ve known that tomorrow’s investor is one who will not only have access to detailed performance metrics across their portfolio, but also have the full picture of the positive impact they have made on the communities they have invested in. With that in mind, we’ve built a software platform that enables investment firms to operate more effectively and provide greater transparency to their investors. Instrumental to this effort, has been our close partnerships with commercial real estate syndicators and other investment firms around the globe. As of today, we are trusted by tens of thousands of investors, with billions of dollars managed on the platform.",https://www.investnext.com/,FinTech/Finance,1-100
Yes,iSeatz,New Orleans,Louisiana,The iSeatz OneView Ancillary Management System™ seamlessly integrates both on-property ancillary products and third-party offerings while delivering a beautiful user experience.,https://www.iseatz.com/,Information Technology,1-100
Yes,LexisNexis Risk Solutions Group,Alpharetta,Georgia,"LexisNexis® Risk Solutions Group (RSG) is a portfolio of brands that span multiple industries providing customers with innovative technologies, information-based analytics and decision tools and data services.

Our brands provide market-specific solutions that help our customers solve problems, make better decisions, stay compliant, reduce risk and improve their operations.

We help detect and prevent online fraud and money laundering and deliver actionable insights to insurance companies and healthcare networks. We provide digital tools that help airlines, agribusinesses and tax professionals improve their operations. We empower organizations to create purposeful workplaces, and we are the trusted source of market intelligence for real estate and the world of chemicals, energy and fertilizers.

RSG is part of RELX, a global provider of information-based analytics and decision tools for professional and business customers.",https://www.risk.lexisnexis.com/group,Consultancy,500-2000
Yes,Maxar Technologies Inc.,Westminster,Colorado,"Maxar Technologies Inc. is a space technology company headquartered in Westminster, Colorado, United States, specializing in manufacturing communication, earth observation, radar, and on-orbit servicing satellites, satellite products, and related services.",https://www.maxar.com/,Aviation/Aerospace,2000+
Yes,MCA Connect,Denver,Colorado,"Through passion and deep industry expertise, MCA Connect helps manufacturers succeed by unlocking innovation with actionable business insights. 

We understand manufacturing’s unique culture and challenges because we’ve spent more than 20 years in the industry. Through strategic solutions, innovation, and industry intelligence, we help manufacturers across all sub-industries solve critical issues, modernize operations, and gain a competitive edge.

MCA Connect helps clients digitally transform through: 

Manufacturing Strategy: Expert and curated guidance that delivers actionable insights, a path for continuous improvement, and P&L results.

Connected Applications: Global Dynamics 365 enterprise implementations and integrations that enable clients to execute against their strategic roadmap.

Modern Platform Management: Proactive support, intelligent insights, and optimization of modern manufacturing platform.

Manufacturing Intelligence: A connected enterprise powered by Industry 4.0 capabilities that delivers the wisdom of prediction and prescription. 

As a ten-time Microsoft Partner of the Year, we excel in empowering manufacturers to transform with the Microsoft Cloud. Microsoft’s full suite of secure cloud solutions unifies modern business applications and industry intelligence, enabling organizations to do more.",http://www.mcaconnect.com,Consultancy,100-500
